Date,High,Low,Open,Close,Volume,Adj Close
2020-06-24,215.3000030517578,211.69000244140625,212.97999572753906,212.02999877929688,1856800.0,207.5995635986328
2020-06-25,216.75,210.64999389648438,214.52000427246094,214.9199981689453,1635300.0,210.4291534423828
2020-06-26,218.0,215.24000549316406,216.5,215.3000030517578,1723300.0,210.80120849609375
2020-06-29,218.1999969482422,215.30999755859375,216.0,217.5800018310547,973900.0,213.03359985351562
2020-06-30,221.6999969482422,216.5,219.58999633789062,219.3699951171875,1811600.0,214.7861785888672
2020-07-01,220.22000122070312,216.8000030517578,218.22999572753906,219.57000732421875,1100400.0,214.98199462890625
2020-07-02,224.5500030517578,220.80999755859375,220.86000061035156,222.16000366210938,1661300.0,217.51788330078125
2020-07-06,223.4600067138672,219.10000610351562,222.7899932861328,221.4199981689453,1368700.0,216.7933349609375
2020-07-07,224.97999572753906,220.52000427246094,220.74000549316406,223.80999755859375,1266600.0,219.13340759277344
2020-07-08,226.72999572753906,223.11000061035156,224.4600067138672,225.57000732421875,1110600.0,220.8566436767578
2020-07-09,230.27999877929688,225.36000061035156,225.36000061035156,229.5,966400.0,224.70449829101562
2020-07-10,230.52999877929688,227.55999755859375,229.25,229.75999450683594,892800.0,224.9590606689453
2020-07-13,232.10000610351562,225.0399932861328,230.57000732421875,225.74000549316406,1246600.0,221.0230712890625
2020-07-14,230.67999267578125,225.5,225.99000549316406,230.52000427246094,1088700.0,225.70318603515625
2020-07-15,229.0,224.05999755859375,226.72999572753906,225.5,1573800.0,220.7880859375
2020-07-16,229.16000366210938,225.58999633789062,226.24000549316406,227.91000366210938,908500.0,223.14773559570312
2020-07-17,230.72000122070312,227.50999450683594,229.1199951171875,228.3800048828125,1275800.0,223.60791015625
2020-07-20,229.11000061035156,226.5,228.0,227.74000549316406,748800.0,222.98129272460938
2020-07-21,228.58999633789062,225.63999938964844,228.0,226.72999572753906,888200.0,221.9923858642578
2020-07-22,227.75,224.47000122070312,227.4199981689453,227.5500030517578,815400.0,222.79525756835938
2020-07-23,232.2100067138672,227.55999755859375,229.11000061035156,227.83999633789062,956200.0,223.07920837402344
2020-07-24,228.9499969482422,225.75,227.5,227.0399932861328,730100.0,222.2958984375
2020-07-27,230.02000427246094,226.8000030517578,226.8000030517578,229.22000122070312,785400.0,224.43035888671875
2020-07-28,230.47000122070312,227.60000610351562,228.97999572753906,228.5500030517578,717500.0,224.86326599121094
2020-07-29,232.27000427246094,228.82000732421875,229.5500030517578,231.0,913000.0,227.27374267578125
2020-07-30,233.0,229.63999938964844,232.0,231.25999450683594,821400.0,227.529541015625
2020-07-31,238.0,233.0399932861328,233.25,236.50999450683594,2859800.0,232.69485473632812
2020-08-03,234.14999389648438,227.67999267578125,230.22000122070312,231.9600067138672,3711700.0,228.21826171875
2020-08-04,238.41000366210938,231.89999389648438,231.89999389648438,237.74000549316406,2001600.0,233.90501403808594
2020-08-05,239.8699951171875,234.32000732421875,238.19000244140625,237.16000366210938,1368700.0,233.33436584472656
2020-08-06,238.22000122070312,234.58999633789062,236.9600067138672,236.14999389648438,1826200.0,232.34066772460938
2020-08-07,238.22999572753906,235.61000061035156,235.77000427246094,237.49000549316406,981400.0,233.65907287597656
2020-08-10,237.94000244140625,232.39999389648438,237.8699951171875,233.36000061035156,854800.0,229.59567260742188
2020-08-11,231.88999938964844,221.7100067138672,231.83999633789062,222.3000030517578,2104200.0,218.71408081054688
2020-08-12,228.60000610351562,223.25999450683594,223.52000427246094,226.9499969482422,1244900.0,223.28907775878906
2020-08-13,227.63999938964844,224.27000427246094,226.64999389648438,224.6999969482422,1054600.0,221.0753631591797
2020-08-14,225.47999572753906,223.75,223.9600067138672,224.25,935200.0,220.63262939453125
2020-08-17,227.8699951171875,224.25,224.25,226.77999877929688,1343300.0,223.12181091308594
