Date,High,Low,Open,Close,Volume,Adj Close
2015-06-03,2477.5,2312.5,2416.0,2343.0,186200.0,2343.0
2015-06-04,2295.0,2196.0,2283.5,2221.5,173600.0,2221.5
2015-06-05,2298.5,2124.5,2128.5,2279.0,200900.0,2279.0
2015-06-08,2273.5,2195.5,2237.5,2230.0,105600.0,2230.0
2015-06-09,2384.5,2328.5,2338.0,2343.5,123500.0,2343.5
2015-06-10,2475.5,2391.0,2474.0,2437.0,121000.0,2437.0
2015-06-11,2437.0,2371.0,2435.5,2407.0,79900.0,2407.0
2015-06-12,2388.0,2337.5,2354.5,2352.0,74500.0,2352.0
2015-06-15,2342.0,2281.5,2285.0,2329.5,112400.0,2329.5
2015-06-16,2372.5,2328.0,2336.0,2357.0,83100.0,2357.0
2015-06-17,2448.0,2275.0,2438.5,2342.5,154100.0,2342.5
2015-06-18,2395.5,2333.5,2373.5,2375.5,112200.0,2375.5
2015-06-19,2325.5,2261.0,2302.5,2299.0,131600.0,2299.0
2015-06-22,2351.5,2263.0,2275.5,2330.0,119900.0,2330.0
2015-06-23,2420.0,2284.0,2291.5,2398.5,155900.0,2398.5
2015-06-24,2427.5,2301.0,2374.0,2336.0,168600.0,2336.0
2015-06-25,2314.5,2271.0,2301.0,2289.0,105600.0,2289.0
2015-06-26,2312.0,2232.0,2245.0,2286.0,124800.0,2286.0
2015-06-29,2231.0,2178.5,2199.0,2180.5,149100.0,2180.5
2015-06-30,2289.5,2211.5,2228.0,2260.0,105200.0,2260.0
2015-07-01,2196.0,2071.0,2188.5,2092.0,155500.0,2092.0
2015-07-02,2156.5,2053.5,2105.0,2055.0,143100.0,2055.0
2015-07-06,1919.0,1750.0,1919.0,1784.0,218400.0,1784.0
2015-07-07,1822.0,1634.0,1756.0,1789.0,200900.0,1789.0
2015-07-08,1783.5,1660.0,1765.0,1721.0,179400.0,1721.0
2015-07-09,1824.5,1750.0,1801.0,1784.0,144900.0,1784.0
2015-07-10,1805.5,1728.5,1772.0,1780.0,125800.0,1780.0
